iter	Passed	Remaining
1250	3055	1829
1251	3058	1827
1252	3060	1824
1253	3063	1822
1254	3065	1819
1255	3068	1817
1256	3070	1814
1257	3072	1812
1258	3075	1810
1259	3077	1807
1260	3080	1805
1261	3082	1802
1262	3085	1800
1263	3087	1797
1264	3089	1795
1265	3092	1792
1266	3094	1790
1267	3097	1788
1268	3100	1785
1269	3102	1783
1270	3104	1780
1271	3107	1778
1272	3109	1776
1273	3112	1773
1274	3114	1771
1275	3117	1768
1276	3119	1766
1277	3122	1763
1278	3124	1761
1279	3127	1758
1280	3129	1756
1281	3131	1754
1282	3134	1751
1283	3136	1749
1284	3139	1746
1285	3141	1744
1286	3143	1741
1287	3146	1739
1288	3148	1736
1289	3151	1734
1290	3153	1732
1291	3156	1729
1292	3158	1727
1293	3161	1724
1294	3164	1722
1295	3166	1720
1296	3168	1717
1297	3171	1715
1298	3173	1712
1299	3176	1710
1300	3178	1707
1301	3181	1705
1302	3183	1702
1303	3186	1700
1304	3188	1698
1305	3191	1695
1306	3193	1693
1307	3196	1690
1308	3198	1688
1309	3200	1685
1310	3203	1683
1311	3205	1681
1312	3208	1678
1313	3210	1676
1314	3213	1673
1315	3215	1671
1316	3217	1668
1317	3220	1666
1318	3222	1663
1319	3225	1661
1320	3227	1659
1321	3230	1656
1322	3232	1654
1323	3234	1651
1324	3237	1649
1325	3239	1646
1326	3242	1644
1327	3244	1641
1328	3247	1639
1329	3249	1637
1330	3252	1634
1331	3254	1632
1332	3256	1629
1333	3259	1627
1334	3261	1624
1335	3264	1622
1336	3266	1619
1337	3269	1617
1338	3271	1615
1339	3274	1612
1340	3276	1610
1341	3278	1607
1342	3281	1605
1343	3283	1602
1344	3286	1600
1345	3288	1597
1346	3291	1595
1347	3293	1593
1348	3295	1590
1349	3298	1588
1350	3300	1585
1351	3303	1583
1352	3305	1580
1353	3308	1578
1354	3310	1575
1355	3313	1573
1356	3315	1571
1357	3318	1568
1358	3320	1566
1359	3322	1563
1360	3325	1561
1361	3327	1558
1362	3330	1556
1363	3332	1553
1364	3335	1551
1365	3337	1549
1366	3340	1546
1367	3342	1544
1368	3345	1541
1369	3347	1539
1370	3349	1536
1371	3352	1534
1372	3354	1532
1373	3357	1529
1374	3359	1527
1375	3362	1524
1376	3364	1522
1377	3367	1519
1378	3369	1517
1379	3372	1515
1380	3375	1512
1381	3377	1510
1382	3379	1507
1383	3382	1505
1384	3384	1503
1385	3387	1500
1386	3389	1498
1387	3392	1495
1388	3394	1493
1389	3397	1490
1390	3399	1488
1391	3402	1485
1392	3404	1483
1393	3406	1481
1394	3409	1478
1395	3411	1476
1396	3414	1473
1397	3416	1471
1398	3419	1468
1399	3421	1466
1400	3424	1464
1401	3426	1461
1402	3429	1459
1403	3431	1456
1404	3433	1454
1405	3436	1451
1406	3439	1449
1407	3441	1447
1408	3444	1444
1409	3446	1442
1410	3448	1439
1411	3451	1437
1412	3453	1434
1413	3456	1432
1414	3458	1429
1415	3461	1427
1416	3463	1425
1417	3466	1422
1418	3468	1420
1419	3470	1417
1420	3473	1415
1421	3475	1412
1422	3478	1410
1423	3480	1407
1424	3483	1405
1425	3485	1403
1426	3487	1400
1427	3490	1398
1428	3492	1395
1429	3495	1393
1430	3497	1390
1431	3500	1388
1432	3502	1385
1433	3505	1383
1434	3507	1380
1435	3509	1378
1436	3512	1376
1437	3514	1373
1438	3517	1371
1439	3519	1368
1440	3522	1366
1441	3524	1363
1442	3527	1361
1443	3529	1358
1444	3531	1356
1445	3534	1354
1446	3536	1351
1447	3539	1349
1448	3541	1346
1449	3543	1344
1450	3546	1341
1451	3548	1339
1452	3551	1336
1453	3553	1334
1454	3556	1332
1455	3558	1329
1456	3561	1327
1457	3563	1324
1458	3566	1322
1459	3568	1319
1460	3570	1317
1461	3573	1314
1462	3575	1312
1463	3578	1310
1464	3580	1307
1465	3582	1305
1466	3585	1302
1467	3587	1300
1468	3590	1297
1469	3592	1295
1470	3595	1292
1471	3597	1290
1472	3600	1288
1473	3602	1285
1474	3605	1283
1475	3607	1280
1476	3610	1278
1477	3612	1275
1478	3614	1273
1479	3617	1270
1480	3619	1268
1481	3622	1266
1482	3624	1263
1483	3627	1261
1484	3629	1258
1485	3632	1256
1486	3634	1253
1487	3636	1251
1488	3639	1248
1489	3641	1246
1490	3644	1244
1491	3646	1241
1492	3649	1239
1493	3651	1236
1494	3653	1234
1495	3656	1231
1496	3658	1229
1497	3661	1226
1498	3663	1224
1499	3666	1222
1500	3668	1219
1501	3671	1217
1502	3673	1214
1503	3675	1212
1504	3678	1209
1505	3680	1207
1506	3683	1204
1507	3685	1202
1508	3688	1200
1509	3690	1197
1510	3693	1195
1511	3695	1192
1512	3698	1190
1513	3700	1187
1514	3703	1185
1515	3705	1183
1516	3707	1180
1517	3710	1178
1518	3712	1175
1519	3715	1173
1520	3717	1170
1521	3720	1168
1522	3722	1165
1523	3724	1163
1524	3727	1160
1525	3729	1158
1526	3732	1156
1527	3734	1153
1528	3737	1151
1529	3739	1148
1530	3742	1146
1531	3744	1143
1532	3747	1141
1533	3749	1139
1534	3752	1136
1535	3754	1134
1536	3757	1131
1537	3759	1129
1538	3762	1126
1539	3764	1124
1540	3767	1122
1541	3769	1119
1542	3771	1117
1543	3774	1114
1544	3776	1112
1545	3779	1109
1546	3781	1107
1547	3784	1104
1548	3786	1102
1549	3789	1100
1550	3791	1097
1551	3793	1095
1552	3796	1092
1553	3798	1090
1554	3801	1087
1555	3803	1085
1556	3806	1082
1557	3808	1080
1558	3811	1078
1559	3813	1075
1560	3815	1073
1561	3818	1070
1562	3820	1068
1563	3823	1065
1564	3825	1063
1565	3828	1060
1566	3830	1058
1567	3833	1056
1568	3835	1053
1569	3837	1051
1570	3840	1048
1571	3842	1046
1572	3845	1043
1573	3847	1041
1574	3850	1038
1575	3852	1036
1576	3854	1034
1577	3857	1031
1578	3859	1029
1579	3862	1026
1580	3864	1024
1581	3867	1021
1582	3869	1019
1583	3871	1016
1584	3874	1014
1585	3877	1012
1586	3879	1009
1587	3881	1007
1588	3884	1004
1589	3887	1002
1590	3889	999
1591	3892	997
1592	3894	995
1593	3897	992
1594	3899	990
1595	3902	987
1596	3904	985
1597	3906	982
1598	3909	980
1599	3911	977
1600	3914	975
1601	3916	973
1602	3919	970
1603	3921	968
1604	3924	965
1605	3926	963
1606	3929	960
1607	3931	958
1608	3933	955
1609	3936	953
1610	3938	951
1611	3941	948
1612	3943	946
1613	3946	943
1614	3949	941
1615	3951	938
1616	3953	936
1617	3956	934
1618	3958	931
1619	3961	929
1620	3963	926
1621	3966	924
1622	3968	921
1623	3971	919
1624	3973	916
1625	3975	914
1626	3978	912
1627	3980	909
1628	3983	907
1629	3985	904
1630	3988	902
1631	3990	899
1632	3993	897
1633	3995	895
1634	3998	892
1635	4000	890
1636	4003	887
1637	4005	885
1638	4008	882
1639	4010	880
1640	4013	877
1641	4015	875
1642	4018	873
1643	4020	870
1644	4023	868
1645	4025	865
1646	4028	863
1647	4030	860
1648	4032	858
1649	4035	855
1650	4037	853
1651	4040	851
1652	4042	848
1653	4045	846
1654	4047	843
1655	4050	841
1656	4052	838
1657	4054	836
1658	4057	833
1659	4059	831
1660	4062	829
1661	4064	826
1662	4067	824
1663	4069	821
1664	4071	819
1665	4074	816
1666	4076	814
1667	4079	811
1668	4081	809
1669	4084	807
1670	4086	804
1671	4089	802
1672	4091	799
1673	4093	797
1674	4096	794
1675	4098	792
1676	4101	789
1677	4103	787
1678	4106	785
1679	4108	782
1680	4111	780
1681	4113	777
1682	4116	775
1683	4118	772
1684	4121	770
1685	4123	767
1686	4125	765
1687	4128	763
1688	4130	760
1689	4133	758
1690	4135	755
1691	4138	753
1692	4140	750
1693	4143	748
1694	4145	745
1695	4148	743
1696	4150	741
1697	4153	738
1698	4156	736
1699	4158	733
1700	4161	731
1701	4163	728
1702	4165	726
1703	4168	724
1704	4170	721
1705	4173	719
1706	4175	716
1707	4178	714
1708	4181	711
1709	4183	709
1710	4186	707
1711	4188	704
1712	4191	702
1713	4193	699
1714	4196	697
1715	4198	694
1716	4200	692
1717	4203	689
1718	4205	687
1719	4208	685
1720	4210	682
1721	4213	680
